;Feature;Importance
595;ultima_review_2016-10-23;0.0
596;ultima_review_2016-10-24;0.0
597;ultima_review_2016-10-26;0.0
598;ultima_review_2016-10-27;0.0
599;ultima_review_2016-10-28;0.0
600;ultima_review_2016-10-29;0.0
601;ultima_review_2016-10-30;0.0
602;ultima_review_2016-10-31;0.0
603;ultima_review_2016-11-01;0.0
604;ultima_review_2016-11-03;0.0
605;ultima_review_2016-11-04;0.0
606;ultima_review_2016-11-05;0.0
607;ultima_review_2016-11-06;0.0
608;ultima_review_2016-11-08;0.0
609;ultima_review_2016-11-12;0.0
610;ultima_review_2016-11-13;0.0
611;ultima_review_2016-11-14;0.0
612;ultima_review_2016-11-15;0.0
613;ultima_review_2016-11-16;0.0
614;ultima_review_2016-11-18;0.0
615;ultima_review_2016-11-20;0.0
616;ultima_review_2016-11-21;0.0
617;ultima_review_2016-11-25;0.0
618;ultima_review_2016-11-26;0.0
619;ultima_review_2016-11-28;0.0
620;ultima_review_2016-11-29;0.0
621;ultima_review_2016-11-30;0.0
622;ultima_review_2016-12-01;0.0
623;ultima_review_2016-12-02;0.0
624;ultima_review_2016-12-03;0.0
625;ultima_review_2016-12-04;0.0
626;ultima_review_2016-12-05;0.0
627;ultima_review_2016-12-06;0.0
628;ultima_review_2016-12-07;0.0
629;ultima_review_2016-12-08;0.0
630;ultima_review_2016-12-09;0.0
631;ultima_review_2016-12-10;0.0
632;ultima_review_2016-12-11;0.0
633;ultima_review_2016-12-13;0.0
634;ultima_review_2016-12-15;0.0
635;ultima_review_2016-12-16;0.0
636;ultima_review_2016-12-18;0.0
637;ultima_review_2016-12-24;0.0
638;ultima_review_2016-12-27;0.0
639;ultima_review_2016-12-28;0.0
640;ultima_review_2016-12-29;0.0
641;ultima_review_2016-12-30;0.0
642;ultima_review_2016-12-31;0.0
643;ultima_review_2017-01-01;0.0
644;ultima_review_2017-01-02;7.339005023430078e-05
645;ultima_review_2017-01-03;0.0
646;ultima_review_2017-01-04;0.0
647;ultima_review_2017-01-05;0.0
648;ultima_review_2017-01-06;0.0
649;ultima_review_2017-01-07;0.0
650;ultima_review_2017-01-08;0.0
651;ultima_review_2017-01-09;0.0
652;ultima_review_2017-01-13;0.0
653;ultima_review_2017-01-15;0.0
654;ultima_review_2017-01-16;0.0
655;ultima_review_2017-01-17;0.0
656;ultima_review_2017-01-19;0.0
657;ultima_review_2017-01-22;0.0
658;ultima_review_2017-01-23;0.0
659;ultima_review_2017-01-24;0.0
660;ultima_review_2017-01-25;0.0
661;ultima_review_2017-01-27;0.0
662;ultima_review_2017-01-28;0.0
663;ultima_review_2017-01-29;0.0
664;ultima_review_2017-01-30;0.0
665;ultima_review_2017-01-31;0.0
666;ultima_review_2017-02-01;0.0
667;ultima_review_2017-02-04;0.0
668;ultima_review_2017-02-05;0.0
669;ultima_review_2017-02-10;0.0
670;ultima_review_2017-02-11;0.0
671;ultima_review_2017-02-12;0.0
672;ultima_review_2017-02-13;0.0
673;ultima_review_2017-02-15;0.0
674;ultima_review_2017-02-16;0.0
675;ultima_review_2017-02-18;0.0
676;ultima_review_2017-02-19;0.0
677;ultima_review_2017-02-26;0.0
678;ultima_review_2017-03-01;0.0
679;ultima_review_2017-03-03;0.0
680;ultima_review_2017-03-07;0.0
681;ultima_review_2017-03-08;0.0
682;ultima_review_2017-03-11;0.0
683;ultima_review_2017-03-13;0.0
684;ultima_review_2017-03-17;0.0
685;ultima_review_2017-03-19;0.0
686;ultima_review_2017-03-25;0.0
687;ultima_review_2017-03-26;0.0
688;ultima_review_2017-03-31;0.0
689;ultima_review_2017-04-01;0.0
690;ultima_review_2017-04-02;0.0
691;ultima_review_2017-04-03;0.0
692;ultima_review_2017-04-04;0.0
693;ultima_review_2017-04-05;0.0
694;ultima_review_2017-04-07;0.0
695;ultima_review_2017-04-09;0.0
696;ultima_review_2017-04-10;0.0
697;ultima_review_2017-04-12;0.0
698;ultima_review_2017-04-15;0.0
699;ultima_review_2017-04-16;0.0
700;ultima_review_2017-04-17;0.0
701;ultima_review_2017-04-18;0.0
702;ultima_review_2017-04-19;0.0
703;ultima_review_2017-04-20;0.0
